LabelerCode,ProductCode,
93,7314,
378,3627,
378,3628,
615,7719,
904,6294,
13668,141,
16590,288,
16729,218,
16729,219,
21695,665,
24236,824,
33261,987,
33342,60,
43063,371,
47335,894,
49349,990,
49349,995,
49999,402,
50228,121,
50228,124,
50436,9986,
51079,557,
51079,558,
52125,46,
52125,174,
52125,243,
52125,243,
52125,879,
52125,960,
53808,616,
53808,763,
53808,806,
54458,888,
54569,4700,
54868,4070,
54868,6336,
55111,196,
55111,671,
55154,2016,
55154,2022,
55154,3376,
55154,3488,
55154,5388,
55154,6278,
55289,911,
55648,314,
55648,315,
58118,357,
60429,301,
60505,253,
60505,3532,
60505,3992,
60760,735,
62034,15,
63629,1598,
63629,4728,
63653,1171,
63653,1332,
64205,357,
64679,314,
64679,315,
65862,357,
66116,494,
67046,604,
68084,536,
68084,537,
68084,609,
68151,3118,
68645,430,
68645,443,
68788,9785,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
