,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
126438,FFSU,XX,68645,402,70,20134,ATORVASTAT,54942,1593,20378.06,18538.45,1839.61
252792,MCOU,XX,68645,402,70,20134,ATORVASTAT,56642,1887,31491.19,31053.54,437.65
126442,FFSU,XX,68645,403,70,20134,ATORVASTAT,885,26,385,308.71,76.29
252796,MCOU,XX,68645,403,70,20134,ATORVASTAT,3557,125,2315.21,2196.71,118.5
126472,FFSU,XX,68645,417,54,20134,ATORVASTAT,394,13,157.45,154.15,3.3
252826,MCOU,XX,68645,417,54,20134,ATORVASTAT,3664,119,2453.17,2404.17,49
126476,FFSU,XX,68645,418,54,20134,ATORVASTAT,33013,1000,16951.98,15611.51,1340.47
252830,MCOU,XX,68645,418,54,20134,ATORVASTAT,39907,1385,30503.72,30171.08,332.64
126519,FFSU,XX,68645,458,70,20134,ATORVASTAT,99104,2822,36237.64,33998.21,2239.43
252873,MCOU,XX,68645,458,70,20134,ATORVASTAT,78025,2556,36185.91,35779.74,406.17
126521,FFSU,XX,68645,459,70,20134,ATORVASTAT,252427,7138,110643.25,104387.11,6256.14
252875,MCOU,XX,68645,459,70,20134,ATORVASTAT,191719,6253,135150.67,134039.92,1110.75
126524,FFSU,XX,68645,460,54,20134,ATORVASTAT,303074,8491,135799.61,128019.79,7779.82
252878,MCOU,XX,68645,460,54,20134,ATORVASTAT,254536,8365,173877.54,172021.84,1855.7
126526,FFSU,XX,68645,461,54,20134,ATORVASTAT,102458.001,2699,46500,43749.71,2750.29
252880,MCOU,XX,68645,461,54,20134,ATORVASTAT,77458.001,2579,55075.24,54212.06,863.18
120930,FFSU,XX,68084,97,1,20134,ATORVASTAT,1088,43,494.73,488.73,6
247738,MCOU,XX,68084,97,1,20134,ATORVASTAT,423,14,151.71,147.71,4
120932,FFSU,XX,68084,98,1,20134,ATORVASTAT,1237,55,874.34,870.04,4.3
247740,MCOU,XX,68084,98,1,20134,ATORVASTAT,210,7,161.18,160.18,1
120933,FFSU,XX,68084,99,1,20134,ATORVASTAT,434,15,156.13,156.13,0
120934,FFSU,XX,68084,99,11,20134,ATORVASTAT,120,4,70.04,70.04,0
122505,FFSU,XX,68084,564,1,20134,ATORVASTAT,855,52,377.37,375.37,2
122507,FFSU,XX,68084,564,11,20134,ATORVASTAT,9,1,5.63,5.63,0
248968,MCOU,XX,68084,564,1,20134,ATORVASTAT,41,9,653.73,653.73,0
248969,MCOU,XX,68084,564,11,20134,ATORVASTAT,30,1,17.4,17.4,0
122511,FFSU,XX,68084,565,1,20134,ATORVASTAT,337,88,356.75,353.46,3.29
122515,FFSU,XX,68084,565,11,20134,ATORVASTAT,36,7,31.83,31.83,0
248973,MCOU,XX,68084,565,1,20134,ATORVASTAT,131,12,84.34,81.34,3
122572,FFSU,XX,68084,589,1,20134,ATORVASTAT,1177,81,687.22,687.22,0
122576,FFSU,XX,68084,589,11,20134,ATORVASTAT,150,5,64,64,0
249009,MCOU,XX,68084,589,1,20134,ATORVASTAT,121,31,112.49,111.43,1.06
122580,FFSU,XX,68084,590,25,20134,ATORVASTAT,424,18,236.1,236.1,0
249015,MCOU,XX,68084,590,25,20134,ATORVASTAT,4,4,7.4,7.4,0
105492,FFSU,XX,62175,890,43,20134,ATORVASTAT,27450,945,11299.01,10976.93,322.08
105495,FFSU,XX,62175,890,46,20134,ATORVASTAT,73530,2179,27733.92,26590.32,1143.6
232445,MCOU,XX,62175,890,43,20134,ATORVASTAT,32940,1118,19483.07,19406.43,76.64
232448,MCOU,XX,62175,890,46,20134,ATORVASTAT,72930.002,2424,47339,47102.75,236.25
105492,FFSU,XX,62175,890,43,20134,ATORVASTAT,27450,945,11299.01,10976.93,322.08
105495,FFSU,XX,62175,890,46,20134,ATORVASTAT,73530,2179,27733.92,26590.32,1143.6
232445,MCOU,XX,62175,890,43,20134,ATORVASTAT,32940,1118,19483.07,19406.43,76.64
232448,MCOU,XX,62175,890,46,20134,ATORVASTAT,72930.002,2424,47339,47102.75,236.25
105492,FFSU,XX,62175,890,43,20134,ATORVASTAT,27450,945,11299.01,10976.93,322.08
105495,FFSU,XX,62175,890,46,20134,ATORVASTAT,73530,2179,27733.92,26590.32,1143.6
232445,MCOU,XX,62175,890,43,20134,ATORVASTAT,32940,1118,19483.07,19406.43,76.64
232448,MCOU,XX,62175,890,46,20134,ATORVASTAT,72930.002,2424,47339,47102.75,236.25
105498,FFSU,XX,62175,891,43,20134,ATORVASTAT,35900,1152,18872.42,18482.31,390.11
105501,FFSU,XX,62175,891,46,20134,ATORVASTAT,83029,2465,37063.43,35055.74,2007.69
232451,MCOU,XX,62175,891,43,20134,ATORVASTAT,46471.118,1540,36761.86,36642.86,119
232454,MCOU,XX,62175,891,46,20134,ATORVASTAT,81299.03,2717,72506.63,72382.63,124
105498,FFSU,XX,62175,891,43,20134,ATORVASTAT,35900,1152,18872.42,18482.31,390.11
105501,FFSU,XX,62175,891,46,20134,ATORVASTAT,83029,2465,37063.43,35055.74,2007.69
232451,MCOU,XX,62175,891,43,20134,ATORVASTAT,46471.118,1540,36761.86,36642.86,119
232454,MCOU,XX,62175,891,46,20134,ATORVASTAT,81299.03,2717,72506.63,72382.63,124
