,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
8266,FFSU,XX,69.0,155.0,1.0,20131.0,CYTARABINE,380.0,11.0,345.11,345.11,0.0
8267,FFSU,XX,69.0,155.0,1.0,20132.0,CYTARABINE,1390.4070000000002,74.0,836.02,836.02,0.0
8268,FFSU,XX,69.0,155.0,1.0,20133.0,CYTARABINE,624.65,70.0,779.33,779.33,0.0
8269,FFSU,XX,69.0,155.0,1.0,20134.0,CYTARABINE,640.63,35.0,826.49,820.49,6.0
8768,FFSU,XX,71.0,155.0,23.0,20131.0,LIPITOR 10,180641.0,4997.0,791267.39,785322.47,5944.92
8769,FFSU,XX,71.0,155.0,23.0,20132.0,LIPITOR 10,173540.0,4787.0,762521.71,759113.47,3408.24
8770,FFSU,XX,71.0,155.0,23.0,20133.0,LIPITOR 10,223241.0,6017.0,1046970.32,1042136.92,4833.4
8771,FFSU,XX,71.0,155.0,23.0,20134.0,LIPITOR 10,151869.0,4049.0,733969.15,731752.3,2216.85
8772,FFSU,XX,71.0,155.0,34.0,20131.0,LIPITOR 10,4564.0,117.0,19496.26,19366.46,129.8
8773,FFSU,XX,71.0,155.0,34.0,20132.0,LIPITOR 10,3602.0,86.0,15761.79,15759.79,2.0
8774,FFSU,XX,71.0,155.0,34.0,20133.0,LIPITOR 10,3658.0,91.0,17148.73,17148.73,0.0
8775,FFSU,XX,71.0,155.0,34.0,20134.0,LIPITOR 10,1758.0,41.0,8483.88,8483.88,0.0
8776,FFSU,XX,71.0,155.0,40.0,20131.0,LIPITOR 10,2062.01,188.0,10138.22,10135.22,3.0
8777,FFSU,XX,71.0,155.0,40.0,20132.0,LIPITOR 10,2424.0,216.0,11700.53,11700.53,0.0
8778,FFSU,XX,71.0,155.0,40.0,20133.0,LIPITOR 10,3241.27,321.0,16626.57,16626.57,0.0
8779,FFSU,XX,71.0,155.0,40.0,20134.0,LIPITOR 10,2379.01,245.0,12663.51,12663.51,0.0
12341,FFSU,XX,93.0,155.0,6.0,20131.0,TOPIRAMATE,82068.0,1062.0,13610.9,13182.29,428.61
12342,FFSU,XX,93.0,155.0,6.0,20132.0,TOPIRAMATE,94308.0,1228.0,15468.37,15110.38,357.99
12343,FFSU,XX,93.0,155.0,6.0,20133.0,TOPIRAMATE,76356.0,994.0,12535.61,12242.83,292.78
12344,FFSU,XX,93.0,155.0,6.0,20134.0,TOPIRAMATE,72303.0,917.0,12989.08,12699.46,289.62
