LabelerCode,ProductCode
49884,320
49884,321
49884,322
49884,323
49999,606
49999,739
50268,615
50268,616
50268,617
50268,618
51079,152
51079,153
51079,154
51079,155
51079,156
52125,15
52125,184
52125,221
52125,222
52125,812
52125,826
52125,829
52125,917
52125,961
52343,38
52343,38
52343,39
52343,39
52343,40
52343,40
52343,41
52343,41
52343,42
52343,42
52343,43
52343,43
52959,579
54868,3941
54868,4254
54868,4254
54868,4255
54868,4255
54868,5336
54868,6358
54868,6364
54868,6365
55111,163
55111,163
55111,163
55111,163
55111,164
55111,164
55111,164
55111,164
55111,164
55111,165
55111,165
55111,165
55111,165
55111,165
55111,166
55111,166
55111,166
55111,166
55111,166
55111,166
55111,167
55111,167
55111,167
55111,167
55111,168
55111,168
55111,168
55111,168
55111,168
55111,262
55111,262
55111,263
55111,263
55111,264
55111,264
55111,265
55111,265
55154,1813
55154,1814
55154,1815
55154,1817
55154,1828
55154,5877
55154,5896
55154,6878
55154,6881
55154,8298
55154,8299
55289,213
57237,69
57237,69
57237,69
57237,70
57237,70
57237,70
57237,71
57237,71
57237,71
57237,71
57237,72
57237,72
57237,72
57237,73
57237,73
57237,73
57237,74
57237,74
57237,74
57237,74
58118,5105
58118,5105
58118,5105
58118,5105
58118,5767
58118,5767
58118,5767
58118,5767
58118,5768
58118,5768
58118,5768
58118,5768
58118,5770
58118,5770
58118,5770
58118,5770
58118,5771
58118,5771
58118,5771
58118,5771
59746,306
59746,307
59746,308
59746,309
60429,620
60429,621
60429,622
60429,623
60429,624
60429,625
60505,3110
60505,3110
60505,3110
60505,3111
60505,3111
60505,3111
60505,3112
60505,3112
60505,3112
60505,3113
60505,3113
60505,3113
60505,3114
60505,3114
60505,3114
60505,3140
60505,3140
60505,3140
60505,3275
60505,3275
60505,3275
60505,3276
60505,3276
60505,3276
60505,3277
60505,3277
60505,3277
60505,3278
60505,3278
60505,3278
43598,164
43598,164
43598,164
43598,164
43598,164
43598,165
43598,165
43598,165
43598,165
43598,165
43598,166
43598,166
43598,166
43598,166
43598,166
43598,166
49349,844
49349,849
49349,804
49349,805
49349,931
49349,980
49349,980
49349,980
49349,981
49349,981
781,3159
904,6283
904,6284
904,6285
904,6286
904,6287
904,6376
904,6377
13668,86
13668,86
13668,86
13668,86
13668,88
13668,88
13668,88
13668,88
13668,89
13668,89
13668,89
13668,89
13668,90
13668,90
13668,90
13668,90
13668,166
13668,166
13668,166
13668,166
13668,166
13668,166
13668,166
13668,167
13668,167
13668,167
13668,167
13668,167
13668,167
13668,167
13668,168
13668,168
13668,168
13668,168
13668,168
13668,168
13668,168
13668,169
13668,169
13668,169
13668,169
13668,169
13668,169
13668,169
13668,170
13668,170
13668,170
13668,170
13668,170
13668,170
13668,171
13668,171
13668,171
13668,171
13668,171
13668,171
16590,621
16590,621
16590,621
42254,203
42254,204
42254,205
42254,206
42254,222
93,5767
93,5767
93,5767
93,5768
93,5768
93,5768
93,5769
93,5769
93,5769
93,5770
93,5770
93,5770
93,5771
93,5771
93,5771
378,5157
378,5157
378,5212
378,5212
378,5335
378,5335
378,5454
378,5454
378,5510
378,5510
378,5510
378,5511
378,5511
378,5511
378,5512
378,5512
378,5512
378,5513
378,5513
378,5513
378,5522
378,5522
378,5713
378,5713
517,955
2,4112
2,4115
2,4116
2,4117
2,4415
2,4420
2,4453
2,4454
2,4455
2,4456
2,7597
93,5105
93,5105
93,5105
93,5245
93,5246
93,5247
93,5248
61786,4
61786,5
62756,551
62756,551
62756,551
62756,551
62756,552
62756,552
62756,552
62756,552
62756,553
62756,553
62756,553
62756,553
62756,554
62756,554
62756,554
62756,554
62756,555
62756,555
62756,555
62756,555
62756,556
62756,556
62756,556
62756,556
62756,751
62756,751
62756,754
62756,754
62756,755
62756,755
62756,757
62756,757
63629,3633
63629,3633
63629,4620
64725,265
64725,552
64725,554
64725,555
64725,751
64725,757
64725,955
64725,3159
64725,5768
65862,561
65862,561
65862,561
65862,561
65862,562
65862,562
65862,562
65862,562
65862,563
65862,563
65862,563
65862,563
65862,564
65862,564
65862,564
65862,564
65862,565
65862,565
65862,565
65862,565
65862,566
65862,566
65862,566
65862,566
65862,656
65862,657
65862,658
65862,659
66993,460
66993,460
66993,461
66993,461
66993,462
66993,462
66993,463
66993,463
66993,464
66993,464
66993,465
66993,465
66993,466
66993,467
66993,468
66993,469
68084,525
68084,526
68084,527
68084,528
68084,529
68084,723
68084,740
68258,7092
68258,7090
68258,7091
68258,7093
68258,7095
68258,7096
21695,140
21695,142
21695,144
24236,254
24236,657
24236,975
24236,997
33342,67
33342,67
33342,67
33342,68
33342,68
33342,68
33342,69
33342,69
33342,69
33342,70
33342,70
33342,70
33342,71
33342,71
33342,71
33342,72
33342,72
33342,72
35356,317
35356,756
68258,7152
68258,7153
68258,7154
