,,,,,,,,,,,,,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor
,,,,,,,,,,,,,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134
,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU
48405,FFSU,XX,591,3774,10,20114,ATORVASTAT,233,9,735.7,735.7,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48406,FFSU,XX,591,3774,19,20114,ATORVASTAT,107595,3379,346841.91,334630.36,12211.55,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169513,MCOU,XX,591,3774,10,20114,ATORVASTAT,4432.6,167,14559.18,14558.18,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169514,MCOU,XX,591,3774,19,20114,ATORVASTAT,157756.184,5967,529619.63,528971.49,648.14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48407,FFSU,XX,591,3775,10,20114,ATORVASTAT,637,22,2821.49,2803.72,17.77,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48408,FFSU,XX,591,3775,19,20114,ATORVASTAT,164769,5188,744824.18,723702.11,21122.07,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169515,MCOU,XX,591,3775,10,20114,ATORVASTAT,3688.36,135,16921.89,16921.89,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169516,MCOU,XX,591,3775,19,20114,ATORVASTAT,192079.06,7104,897974.34,896724.25,1250.09,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48409,FFSU,XX,591,3776,5,20114,ATORVASTAT,636,21,2910.82,2892.82,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48410,FFSU,XX,591,3776,19,20114,ATORVASTAT,161671,5125,735839.96,715428.28,20411.68,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169517,MCOU,XX,591,3776,5,20114,ATORVASTAT,2535.36,96,12109.25,12102.25,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169518,MCOU,XX,591,3776,19,20114,ATORVASTAT,175323.726,6499,815544.69,814549.19,995.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48411,FFSU,XX,591,3777,5,20114,ATORVASTAT,330,12,1497.56,1493.06,4.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48412,FFSU,XX,591,3777,19,20114,ATORVASTAT,83128,2737,374737.57,363288.56,11449.01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169519,MCOU,XX,591,3777,5,20114,ATORVASTAT,1245.09,45,5514.24,5510.24,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169520,MCOU,XX,591,3777,19,20114,ATORVASTAT,92793.295,3412,422090.47,421601.58,488.89,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112655,FFSU,XX,63304,827,90,20114,ATORVASTAT,40254,1270,121624.49,117872.11,3752.38,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219740,MCOU,XX,63304,827,90,20114,ATORVASTAT,66334.305,2566,225046.95,225018.95,28,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112656,FFSU,XX,63304,828,90,20114,ATORVASTAT,55654.5,1790,242050.99,236902.73,5148.26,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219741,MCOU,XX,63304,828,90,20114,ATORVASTAT,88208.169,3306,414438.39,413897.9,540.49,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112657,FFSU,XX,63304,829,90,20114,ATORVASTAT,54715.5,1767,239306.22,234559.76,4746.46,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219742,MCOU,XX,63304,829,90,20114,ATORVASTAT,76487.435,2869,362964.39,362852.76,111.63,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112658,FFSU,XX,63304,830,90,20114,ATORVASTAT,23641,765,102150.37,100052.58,2097.79,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219743,MCOU,XX,63304,830,90,20114,ATORVASTAT,38434.72,1417,174954.33,174704.43,249.9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202,FFSU,XX,71,155,23,20111,LIPITOR 10,3935478.81,114454,13521437.51,13362816.53,158620.98,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203,FFSU,XX,71,155,23,20112,LIPITOR 10,3591519.204,102234,12529091.36,12384989.65,144101.71,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204,FFSU,XX,71,155,23,20113,LIPITOR 10,3308849,94182,12031405.38,11879461.24,151944.14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205,FFSU,XX,71,155,23,20114,LIPITOR 10,1848571.1,53312,6885271.9,6749914.43,135357.47,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10206,FFSU,XX,71,155,34,20111,LIPITOR 10,29293,816,100291.84,99005.43,1286.41,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10207,FFSU,XX,71,155,34,20112,LIPITOR 10,28865,789,100316.09,99019.58,1296.51,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10208,FFSU,XX,71,155,34,20113,LIPITOR 10,25747,696,93318.78,92362.69,956.09,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10209,FFSU,XX,71,155,34,20114,LIPITOR 10,14917,344,54089.97,53291,798.97,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10210,FFSU,XX,71,155,40,20111,LIPITOR 10,7533.02,320,26847.8,25416.72,1431.08,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10211,FFSU,XX,71,155,40,20112,LIPITOR 10,6557.05,294,23953.49,22764.66,1188.83,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10212,FFSU,XX,71,155,40,20113,LIPITOR 10,6074,260,24052.29,22093.45,1958.84,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10213,FFSU,XX,71,155,40,20114,LIPITOR 10,6417.08,272,25332.06,24103.07,1228.99,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138682,MCOU,XX,71,155,23,20111,LIPITOR 10,103871,3620,359457.22,354459.2,4998.02,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138683,MCOU,XX,71,155,23,20112,LIPITOR 10,112882,3840,402270.03,396290.91,5979.12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138684,MCOU,XX,71,155,23,20113,LIPITOR 10,142363,4870,541188.35,534301.86,6886.49,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138685,MCOU,XX,71,155,23,20114,LIPITOR 10,949419.624,32139,3519743.66,3511563.49,8180.17,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138686,MCOU,XX,71,155,34,20111,LIPITOR 10,3073,105,10563.26,10560.26,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
